,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G100
G19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046472241,0.046472241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046472241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046472241,0.046472241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046472241,0.046472241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046472241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046472241,0.046472241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G21,0,0,0,0,0,0,0,0,0,0.042092424,0,0,0,0,0,0,0,0,0,0,0.092601894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042092424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05050947,0,0,0,0,0.042092424,0,0,0
G22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085117127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03592662,0,0,0.042984705,0.045606377,0.045606377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03554544,0.138405897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03554544,0.03554544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G25,0,0.016158488,0.016158488,0,0.016537277,0.021345168,1,0,0,0,0,0,0,0,0.018322591,0,0,0,0,0,0,0,0,0,0.070038665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277219278,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.015139297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022332454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025012456,0,0.043433253,0.034110615,0.02021916,0.02021916,0,0,0,0,0
G27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131632725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044518534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035764938,0.035764938,0,0,0,0,0
G29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G36,0.038501335,0,0,0,0,0,0,0.042956604,0,0.06257833,0,0,0,0,0,0,0,0,0,0,0,0,0.029260341,0.043161478,0.05823441,0,0,0,0.042924216,0,0,0,0,0,0,0.03116109,1,0,0,0,0,0,0,0,0,0,0.0739678,0.0739678,0,0.031803784,0.053047787,0,0,0,0,0,0,0,0.053047787,0.053047787,0.053047787,0.029187209,0,0.017888224,0,0,0.029926673,0.054980049,0.029926673,0.042810858,0.051642617,0.03112532,0.06756685,0.051642617,0.037240149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G37,1,0.046837361,0.046837361,0.021515648,0.014883549,0.019210651,0.065956353,1,0,1,0,0,0,0,0.016490332,0,0,0,0.008520694,0.008520694,0,0,1,1,1,0.023546022,0.017009482,0.042671129,1,0.017009482,0,0.017009482,0.017009482,0.017009482,0.017009482,0.022203773,0.226305936,0.025336576,0.030683178,0.021975322,0.028544517,0.058955476,0,0.117602717,0.016268652,0.058247344,1,1,0,0.133899038,1,0.017218699,0.017218699,0,0,0,0,0,1,1,1,1,0.086800451,1,0.017869033,0.017869033,1,1,1,1,1,1,1,1,1,0.058174798,0.058174798,0.027250296,0.027250296,0.027250296,0.023770764,0,0,0.030309056,0.017819351,0.038046368,0.029190687,0.024222571,0.084759331,0.053252622,0,0,0.040993379,0.061497899,0.061497899,0.035757069,0.018415089,0,0.017246325,0.021975322
G38,0,0,0,0.012412996,0,0,0,0,1,0,0,0,0,0,0,0.025645569,0.025645569,0.025645569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100443272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008781448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G39,0,0,0,0,0,0,0,0,0.056573753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056573753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033282139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024354732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019122897,0.019122897,0.019122897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058226837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G42,1,0.096238503,0.096238503,0.07091679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036980154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017443457,0,0,0.017443457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G43,0,0,0,0,0,0,0,0,0,0.05027367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039433291,0,0,0,0,0,0,0,0,0,0,0,0.099335914,1,1,0,0,0,0,0.070554115,0,0,0,0,0,0,0,0,0,0,0,0.070231988,0,0.011567503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.03198871,0.03198871,0,0,0,0,0,0.021191419,0,0.042671129,0,0,1,0,0,0,0,0,0.103199406,0,0,0,0.035515937,0,0,0.356279854,0.025830134,0,0,0,0,1,0.047743008,0,0,0,0,0,0,0,0.047743008,0.047743008,0.047743008,1,1,1,0,0,0,0,0,0,0,0,0,0,0.053784823,0,0,0.06603165,0.06603165,0.06603165,0,0,0,0,0,0,0,0,0,0,0,0,0.040993379,0.041874627,0.041874627,0.035757069,0,0,0,0
G45,0,0,0,0,0,0,0,0,0,0.05027367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039433291,0,0,0,0,0,0,0,0,0,0,0,0.041449807,1,0.088576263,0,0,0,0,0.070554115,0,0,0,0,0,0,0,0,0,0,0,0.070231988,0,0.011567503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G46,0.07301841,0.029552863,0.029552863,1,0.030399209,0,0,0.042956604,1,1,0.090939316,0.090939316,0.090939316,0,0,1,1,1,0,0,0,1,0.068771091,1,0.05823441,0,0,0,0.042924216,0,0,0,0,0,0,0.03116109,1,0.043083536,0.03409242,0,0,0,0,0.061762328,0,0.217840546,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.10944537,0.058688829,0.017888224,0,0,0.029926673,0.054980049,0.029926673,0.042810858,0.051642617,0.06705194,0.06756685,0.051642617,0.162600929,0,0,0,0,0,0.003757354,0.093525115,0.036379552,0,0.035457481,0,0,0.006398223,0,0,0,0,0,0,0,0,0,0,0,0
G47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046472241,0.046472241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046472241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046472241,0.046472241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046206508,0,0,0,0,0,0,0.046206508,0,0,0,0,0,0.046206508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G54,0,0.018510145,0.018510145,0,0,0.030241983,0.023254583,0,0,0,0,0,0,0.037894495,0.025959574,0,0,0,0.007596314,0.007596314,0.015716906,0,0.009124835,0,0,0,0.019520313,0,0,0.019520313,0,0.019520313,0.019520313,0.019520313,0.019520313,0.022878021,0,0.020404507,0.024665614,0.02037837,0.012986975,0.02037837,0.030728353,0.00806253,0.016762672,0,0,0,0.018501196,0,0,0.027106191,0.027106191,0.368657668,1,0.030169156,0.023272237,0,0,0,0,0,0,0.004486548,0.018411651,0.018411651,0.010369589,0,0.010369589,0,0.020018349,0,0,0.020018349,0,0.030591296,0.030591296,0.024384109,0.024384109,0.024384109,1,1,0.016238395,0.024364865,0,0.03058474,0.023508369,0.012412404,0.034109467,0.017207837,0.030216532,0.0297793,0.023467104,0.018197244,0.018197244,0.024527089,0.018974289,0.038035351,0.033763064,0.02037837
G55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.251981556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060023815,0.114639116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052404153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011071678,0,0,0,0,0,0,0,0,0,1,0.05887917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
